# ----------------------------------------,,,,,,,,,,
# All Web Site Data,,,,,,,,,,
# Location,,,,,,,,,,
# 20181111-20181111,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
City,Hour of Day,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,2018111109,61,16,64,39.06%,2.09,0:07:19,0.00%,0,$0.00 
Durham,2018111108,55,15,46,50.00%,3.54,0:03:26,0.00%,0,$0.00 
Durham,2018111107,43,9,48,33.33%,2.21,0:09:51,0.00%,0,$0.00 
Durham,2018111111,42,16,44,52.27%,1.89,0:03:51,0.00%,0,$0.00 
Durham,2018111110,38,12,28,42.86%,2.43,0:02:42,0.00%,0,$0.00 
Durham,2018111112,22,2,22,68.18%,1.82,0:01:18,0.00%,0,$0.00 
Charlotte,2018111110,12,4,13,7.69%,3.23,0:03:56,0.00%,0,$0.00 
Raleigh,2018111110,12,4,11,45.45%,2.09,0:06:00,0.00%,0,$0.00 
Charlotte,2018111111,10,4,10,50.00%,1.5,0:01:57,0.00%,0,$0.00 
Raleigh,2018111108,10,2,9,22.22%,3.67,0:06:21,0.00%,0,$0.00 
Charlotte,2018111107,9,4,9,22.22%,2,0:09:20,0.00%,0,$0.00 
Charlotte,2018111109,8,3,8,25.00%,1.75,0:05:06,0.00%,0,$0.00 
Raleigh,2018111111,8,3,7,28.57%,3.29,0:04:58,0.00%,0,$0.00 
Charlotte,2018111108,7,2,4,50.00%,4.25,0:00:07,0.00%,0,$0.00 
Durham,2018111113,7,3,8,50.00%,1.88,0:01:25,0.00%,0,$0.00 
Cary,2018111109,6,2,6,66.67%,1.33,0:03:24,0.00%,0,$0.00 
Durham,2018111115,6,1,6,83.33%,1.17,0:00:54,0.00%,0,$0.00 
Raleigh,2018111107,6,2,6,33.33%,2.83,0:05:55,0.00%,0,$0.00 
Raleigh,2018111109,6,2,7,28.57%,2.14,0:06:21,0.00%,0,$0.00 
Virginia Beach,2018111109,6,5,8,37.50%,2.75,0:02:37,0.00%,0,$0.00 
Atlanta,2018111112,5,0,5,100.00%,1,0:00:00,0.00%,0,$0.00 
Durham,2018111120,5,1,5,60.00%,1.4,0:00:07,0.00%,0,$0.00 
Greensboro,2018111109,5,3,5,40.00%,3,0:10:59,0.00%,0,$0.00 
Charlotte,2018111112,4,0,4,75.00%,1.25,0:03:54,0.00%,0,$0.00 
Raleigh,2018111114,4,2,4,75.00%,1.25,0:00:08,0.00%,0,$0.00 
(not set),2018111109,3,3,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Atlanta,2018111115,3,1,3,66.67%,2.33,0:00:28,0.00%,0,$0.00 
Cary,2018111112,3,0,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 
Chapel Hill,2018111107,3,1,3,33.33%,1.67,0:08:21,0.00%,0,$0.00 
